run_id,seed,data,use_graph,final_test_rse,final_test_rae,best_test_rse,objective_rse,return_code,trial_json,log_file
1,2026,/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/data/sm_data.csv,0,1.8539,2.0401,1.8665926738946774,1.8665926738946774,0,"{""lr"": 0.0002, ""dropout"": 0.1, ""layers"": 2, ""conv_channels"": 16, ""residual_channels"": 128, ""skip_channels"": 256, ""end_channels"": 1024, ""seq_in_len"": 24, ""seq_out_len"": 1, ""ss_prob"": 0.2}",/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/tuning_runs/20260217_115120/run_001.log
2,2026,/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/data/sm_data.csv,0,1.6182,1.811,1.6124720244660136,1.6124720244660136,0,"{""lr"": 0.0003, ""dropout"": 0.1, ""layers"": 2, ""conv_channels"": 16, ""residual_channels"": 128, ""skip_channels"": 256, ""end_channels"": 1024, ""seq_in_len"": 24, ""seq_out_len"": 1, ""ss_prob"": 0.3}",/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/tuning_runs/20260217_115120/run_002.log
3,2026,/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/data/sm_data.csv,0,1.2185,1.3581,1.2106371871853687,1.2106371871853687,0,"{""lr"": 0.0005, ""dropout"": 0.1, ""layers"": 2, ""conv_channels"": 16, ""residual_channels"": 128, ""skip_channels"": 256, ""end_channels"": 1024, ""seq_in_len"": 24, ""seq_out_len"": 1, ""ss_prob"": 0.2}",/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/tuning_runs/20260217_115120/run_003.log
4,2026,/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/data/sm_data.csv,0,1.8478,2.0365,1.8586091010228523,1.8586091010228523,0,"{""lr"": 0.0002, ""dropout"": 0.05, ""layers"": 2, ""conv_channels"": 16, ""residual_channels"": 128, ""skip_channels"": 256, ""end_channels"": 1024, ""seq_in_len"": 24, ""seq_out_len"": 1, ""ss_prob"": 0.2}",/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/tuning_runs/20260217_115120/run_004.log
