run_id,seed,final_test_rse,final_test_rae,best_test_rse,test_focus_rrse,objective_total,return_code,trial_json,log_file
1,777,3.456,4.2311,3.4560370457706338,7.6145,615.0078229999999,0,"{""lr"": 0.00011250000000000001, ""dropout"": 0.0, ""layers"": 2, ""conv_channels"": 16, ""residual_channels"": 128, ""skip_channels"": 256, ""end_channels"": 1024, ""subgraph_size"": 20, ""node_dim"": 30, ""seq_in_len"": 36, ""seq_out_len"": 12, ""ss_prob"": 0.010000000000000002, ""focus_target_gain"": 81.6, ""anchor_focus_to_last"": 0.07, ""bias_penalty"": 0.25, ""lag_penalty_1step"": 0.5, ""lag_sign_penalty"": 0.35, ""focus_only_loss"": 1, ""grad_loss_weight"": 0.09999999999999998}",/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/tuning_runs_v2/20260221_173952/run_001.log
2,123,3.6474,4.2418,3.6473512114814297,8.1187,704.6537762800001,0,"{""lr"": 0.00011250000000000001, ""dropout"": 0.0, ""layers"": 2, ""conv_channels"": 16, ""residual_channels"": 128, ""skip_channels"": 256, ""end_channels"": 1024, ""subgraph_size"": 20, ""node_dim"": 30, ""seq_in_len"": 36, ""seq_out_len"": 12, ""ss_prob"": 0.010000000000000002, ""focus_target_gain"": 81.6, ""anchor_focus_to_last"": 0.07, ""bias_penalty"": 0.25, ""lag_penalty_1step"": 0.5, ""lag_sign_penalty"": 0.35, ""focus_only_loss"": 1, ""grad_loss_weight"": 0.09999999999999998}",/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/tuning_runs_v2/20260221_173952/run_002.log
3,2026,4.9904,5.5757,4.990359933642911,10.3676,1178.80195712,0,"{""lr"": 0.00011250000000000001, ""dropout"": 0.0, ""layers"": 2, ""conv_channels"": 16, ""residual_channels"": 128, ""skip_channels"": 256, ""end_channels"": 1024, ""subgraph_size"": 20, ""node_dim"": 30, ""seq_in_len"": 36, ""seq_out_len"": 12, ""ss_prob"": 0.010000000000000002, ""focus_target_gain"": 81.6, ""anchor_focus_to_last"": 0.07, ""bias_penalty"": 0.25, ""lag_penalty_1step"": 0.5, ""lag_sign_penalty"": 0.35, ""focus_only_loss"": 1, ""grad_loss_weight"": 0.09999999999999998}",/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/tuning_runs_v2/20260221_173952/run_003.log
