run_id,seed,final_test_rse,final_test_rae,best_test_rse,test_focus_rrse,objective_total,return_code,trial_json,log_file
1,777,1.4824,1.692,1.4824345772039171,1.9446,26.987029920000005,0,"{""lr"": 0.00015000000000000001, ""dropout"": 0.0, ""layers"": 3, ""conv_channels"": 16, ""residual_channels"": 128, ""skip_channels"": 256, ""end_channels"": 1024, ""subgraph_size"": 20, ""node_dim"": 30, ""seq_in_len"": 24, ""seq_out_len"": 12, ""ss_prob"": 0.010000000000000002, ""focus_target_gain"": 96.0, ""anchor_focus_to_last"": 0.11, ""bias_penalty"": 0.25, ""lag_penalty_1step"": 0.5, ""lag_sign_penalty"": 0.25, ""focus_only_loss"": 0, ""grad_loss_weight"": 0.19999999999999998}",/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/tuning_runs_v2/20260221_140924/run_001.log
2,123,0.9743,1.1845,0.9743018010117039,2.7418,63.04980687999999,0,"{""lr"": 0.00015000000000000001, ""dropout"": 0.0, ""layers"": 3, ""conv_channels"": 16, ""residual_channels"": 128, ""skip_channels"": 256, ""end_channels"": 1024, ""subgraph_size"": 20, ""node_dim"": 30, ""seq_in_len"": 24, ""seq_out_len"": 12, ""ss_prob"": 0.010000000000000002, ""focus_target_gain"": 96.0, ""anchor_focus_to_last"": 0.11, ""bias_penalty"": 0.25, ""lag_penalty_1step"": 0.5, ""lag_sign_penalty"": 0.25, ""focus_only_loss"": 0, ""grad_loss_weight"": 0.19999999999999998}",/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/tuning_runs_v2/20260221_140924/run_002.log
3,2026,2.7927,2.9737,2.792683238376856,8.2684,732.4448627200001,0,"{""lr"": 0.00015000000000000001, ""dropout"": 0.0, ""layers"": 3, ""conv_channels"": 16, ""residual_channels"": 128, ""skip_channels"": 256, ""end_channels"": 1024, ""subgraph_size"": 20, ""node_dim"": 30, ""seq_in_len"": 24, ""seq_out_len"": 12, ""ss_prob"": 0.010000000000000002, ""focus_target_gain"": 96.0, ""anchor_focus_to_last"": 0.11, ""bias_penalty"": 0.25, ""lag_penalty_1step"": 0.5, ""lag_sign_penalty"": 0.25, ""focus_only_loss"": 0, ""grad_loss_weight"": 0.19999999999999998}",/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/tuning_runs_v2/20260221_140924/run_003.log
4,777,5.6123,6.3682,5.6123464262267095,6.6865,465.959887,0,"{""lr"": 0.00037499999999999995, ""dropout"": 0.07, ""layers"": 2, ""conv_channels"": 32, ""residual_channels"": 128, ""skip_channels"": 256, ""end_channels"": 1024, ""subgraph_size"": 20, ""node_dim"": 50, ""seq_in_len"": 72, ""seq_out_len"": 12, ""ss_prob"": 0.07, ""focus_target_gain"": 54.0, ""anchor_focus_to_last"": 0.13, ""bias_penalty"": 0.44999999999999996, ""lag_penalty_1step"": 0.6, ""lag_sign_penalty"": 0.15, ""focus_only_loss"": 1, ""grad_loss_weight"": 0.19999999999999998}",/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/tuning_runs_v2/20260221_140924/run_004.log
5,123,4.9841,5.4851,4.984064366446338,6.2188,398.67488128,0,"{""lr"": 0.00037499999999999995, ""dropout"": 0.07, ""layers"": 2, ""conv_channels"": 32, ""residual_channels"": 128, ""skip_channels"": 256, ""end_channels"": 1024, ""subgraph_size"": 20, ""node_dim"": 50, ""seq_in_len"": 72, ""seq_out_len"": 12, ""ss_prob"": 0.07, ""focus_target_gain"": 54.0, ""anchor_focus_to_last"": 0.13, ""bias_penalty"": 0.44999999999999996, ""lag_penalty_1step"": 0.6, ""lag_sign_penalty"": 0.15, ""focus_only_loss"": 1, ""grad_loss_weight"": 0.19999999999999998}",/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/tuning_runs_v2/20260221_140924/run_005.log
