run_id,seed,final_test_rse,final_test_rae,best_test_rse,test_focus_rrse,objective_total,return_code,trial_json,log_file
1,777,0.6657,0.8602,0.6656944775031555,3.2715,1.9766278799999997,0,"{""lr"": 0.00015, ""dropout"": 0.02, ""layers"": 2, ""conv_channels"": 16, ""residual_channels"": 128, ""skip_channels"": 256, ""end_channels"": 1024, ""subgraph_size"": 30, ""node_dim"": 30, ""seq_in_len"": 24, ""seq_out_len"": 12, ""ss_prob"": 0.05, ""focus_target_gain"": 80.0, ""anchor_focus_to_last"": 0.06, ""bias_penalty"": 0.5, ""lag_penalty_1step"": 1.3, ""lag_sign_penalty"": 0.5, ""focus_only_loss"": 1, ""grad_loss_weight"": 0.15}",/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/tuning_runs_v3/20260221_180348/run_001.log
2,123,1.387,1.4484,1.386967529774812,5.9402,12.610288,0,"{""lr"": 0.00015, ""dropout"": 0.02, ""layers"": 2, ""conv_channels"": 16, ""residual_channels"": 128, ""skip_channels"": 256, ""end_channels"": 1024, ""subgraph_size"": 30, ""node_dim"": 30, ""seq_in_len"": 24, ""seq_out_len"": 12, ""ss_prob"": 0.05, ""focus_target_gain"": 80.0, ""anchor_focus_to_last"": 0.06, ""bias_penalty"": 0.5, ""lag_penalty_1step"": 1.3, ""lag_sign_penalty"": 0.5, ""focus_only_loss"": 1, ""grad_loss_weight"": 0.15}",/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/tuning_runs_v3/20260221_180348/run_002.log
3,2026,0.6876,0.938,0.6876287685017574,4.3812,2.42428512,0,"{""lr"": 0.00015, ""dropout"": 0.02, ""layers"": 2, ""conv_channels"": 16, ""residual_channels"": 128, ""skip_channels"": 256, ""end_channels"": 1024, ""subgraph_size"": 30, ""node_dim"": 30, ""seq_in_len"": 24, ""seq_out_len"": 12, ""ss_prob"": 0.05, ""focus_target_gain"": 80.0, ""anchor_focus_to_last"": 0.06, ""bias_penalty"": 0.5, ""lag_penalty_1step"": 1.3, ""lag_sign_penalty"": 0.5, ""focus_only_loss"": 1, ""grad_loss_weight"": 0.15}",/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/tuning_runs_v3/20260221_180348/run_003.log
