| end of epoch  21 | time:  2.22s | train_loss 0.0008 | valid rse 0.6714 | valid rae 0.7314 | valid corr  0.9096 | valid smape  0.1468 | focus_rrse 0.6722 | obj 0.6719
test rse 0.2550 | test rae 0.2925 | test corr 0.9533| test smape 0.0784 | test focus_rrse 0.3914
| end of epoch  22 | time:  2.31s | train_loss 0.0009 | valid rse 0.7437 | valid rae 0.8011 | valid corr  0.8986 | valid smape  0.1442 | focus_rrse 0.7599 | obj 0.7551
| end of epoch  23 | time:  2.19s | train_loss 0.0009 | valid rse 0.6097 | valid rae 0.6706 | valid corr  0.9148 | valid smape  0.1470 | focus_rrse 0.7083 | obj 0.6787
| end of epoch  24 | time:  2.27s | train_loss 0.0008 | valid rse 1.0597 | valid rae 1.1096 | valid corr  0.9059 | valid smape  0.1438 | focus_rrse 1.0688 | obj 1.0661
| end of epoch  25 | time:  2.23s | train_loss 0.0009 | valid rse 0.9944 | valid rae 1.0162 | valid corr  0.9087 | valid smape  0.1390 | focus_rrse 1.0034 | obj 1.0007
| end of epoch  26 | time:  2.21s | train_loss 0.0008 | valid rse 1.3489 | valid rae 1.3898 | valid corr  0.9163 | valid smape  0.1596 | focus_rrse 1.3613 | obj 1.3576
| end of epoch  27 | time:  2.27s | train_loss 0.0009 | valid rse 0.5718 | valid rae 0.6496 | valid corr  0.9080 | valid smape  0.1352 | focus_rrse 0.9653 | obj 0.8473
| end of epoch  28 | time:  2.23s | train_loss 0.0007 | valid rse 0.7933 | valid rae 0.8455 | valid corr  0.9142 | valid smape  0.1325 | focus_rrse 0.7969 | obj 0.7959
| end of epoch  29 | time:  2.24s | train_loss 0.0008 | valid rse 0.6532 | valid rae 0.6746 | valid corr  0.9020 | valid smape  0.1412 | focus_rrse 0.6548 | obj 0.6543
test rse 0.3091 | test rae 0.3369 | test corr 0.9426| test smape 0.0782 | test focus_rrse 0.4160
| end of epoch  30 | time:  2.25s | train_loss 0.0009 | valid rse 0.9158 | valid rae 0.9995 | valid corr  0.9164 | valid smape  0.1351 | focus_rrse 0.9228 | obj 0.9207
| end of epoch  31 | time:  2.25s | train_loss 0.0008 | valid rse 0.7660 | valid rae 0.8424 | valid corr  0.9135 | valid smape  0.1344 | focus_rrse 0.7682 | obj 0.7675
| end of epoch  32 | time:  2.27s | train_loss 0.0006 | valid rse 0.8454 | valid rae 0.9121 | valid corr  0.9088 | valid smape  0.1345 | focus_rrse 0.8516 | obj 0.8497
| end of epoch  33 | time:  2.44s | train_loss 0.0009 | valid rse 0.9617 | valid rae 0.9946 | valid corr  0.9180 | valid smape  0.1396 | focus_rrse 0.9711 | obj 0.9683
| end of epoch  34 | time:  2.31s | train_loss 0.0011 | valid rse 0.6665 | valid rae 0.6991 | valid corr  0.9069 | valid smape  0.1403 | focus_rrse 0.6689 | obj 0.6682
| end of epoch  35 | time:  2.30s | train_loss 0.0007 | valid rse 0.5483 | valid rae 0.6001 | valid corr  0.9066 | valid smape  0.1413 | focus_rrse 0.7493 | obj 0.6890
| end of epoch  36 | time:  2.27s | train_loss 0.0007 | valid rse 1.0164 | valid rae 1.0756 | valid corr  0.9137 | valid smape  0.1392 | focus_rrse 1.0258 | obj 1.0230
| end of epoch  37 | time:  2.28s | train_loss 0.0009 | valid rse 0.7293 | valid rae 0.7882 | valid corr  0.9074 | valid smape  0.1470 | focus_rrse 0.7443 | obj 0.7398
| end of epoch  38 | time:  2.29s | train_loss 0.0008 | valid rse 1.0773 | valid rae 1.1309 | valid corr  0.9126 | valid smape  0.1352 | focus_rrse 1.0880 | obj 1.0848
| end of epoch  39 | time:  2.29s | train_loss 0.0009 | valid rse 1.2183 | valid rae 1.3443 | valid corr  0.9231 | valid smape  0.1507 | focus_rrse 1.2325 | obj 1.2282
| end of epoch  40 | time:  2.23s | train_loss 0.0008 | valid rse 0.6414 | valid rae 0.7161 | valid corr  0.9165 | valid smape  0.1432 | focus_rrse 0.6908 | obj 0.6760
| end of epoch  41 | time:  2.21s | train_loss 0.0006 | valid rse 0.9832 | valid rae 1.0634 | valid corr  0.9167 | valid smape  0.1414 | focus_rrse 0.9917 | obj 0.9891
| end of epoch  42 | time:  2.23s | train_loss 0.0006 | valid rse 0.5172 | valid rae 0.5871 | valid corr  0.9170 | valid smape  0.1400 | focus_rrse 0.6845 | obj 0.6343
test rse 0.2415 | test rae 0.2583 | test corr 0.9560| test smape 0.0760 | test focus_rrse 0.3561
| end of epoch  43 | time:  2.23s | train_loss 0.0007 | valid rse 0.5181 | valid rae 0.5637 | valid corr  0.9155 | valid smape  0.1322 | focus_rrse 0.6206 | obj 0.5898
test rse 0.2062 | test rae 0.2264 | test corr 0.9540| test smape 0.0742 | test focus_rrse 0.2474
| end of epoch  44 | time:  2.27s | train_loss 0.0008 | valid rse 0.8238 | valid rae 0.8800 | valid corr  0.9222 | valid smape  0.1397 | focus_rrse 0.8282 | obj 0.8269
| end of epoch  45 | time:  2.23s | train_loss 0.0008 | valid rse 0.5783 | valid rae 0.6507 | valid corr  0.9133 | valid smape  0.1340 | focus_rrse 0.6102 | obj 0.6006
| end of epoch  46 | time:  2.22s | train_loss 0.0008 | valid rse 0.4487 | valid rae 0.5502 | valid corr  0.9075 | valid smape  0.1459 | focus_rrse 0.9651 | obj 0.8102
