=== CREATIVE US_TRADE APPROACHES ===

--- A: No graph, short train ---
  s=777 e=10 lowlr: us=1.9040  jp=1.4828  kr=1.7295
  s=777 e=20 lowlr: us=5.0097  jp=1.2368  kr=0.6768
  s=37 e=3 lowlr: us=1.5631  jp=1.8927  kr=2.1181
  s=37 e=5 lowlr: us=2.2004  jp=1.8740  kr=2.5627
  s=37 e=10 lowlr: us=1.8235  jp=1.6287  kr=2.2632
  s=37 e=20 lowlr: us=2.5053  jp=1.0810  kr=1.3087

--- E: val_quadratic debias ---
  s=21 e=3 val_quadratic: us=2.1112  jp=2.7154  kr=2.4122
  s=21 e=3 val_hybrid: us=2.1112  jp=2.7154  kr=2.4122
  s=21 e=5 val_quadratic: us=4.5510  jp=1.5831  kr=0.4341
  s=21 e=5 val_hybrid: us=4.5510  jp=1.5831  kr=0.4341
  s=3 e=3 val_quadratic: us=1.9631  jp=1.5482  kr=1.8135
  s=3 e=3 val_hybrid: us=1.9631  jp=1.5482  kr=1.8135
  s=3 e=5 val_quadratic: us=2.5559  jp=1.4743  kr=1.8166
  s=3 e=5 val_hybrid: us=2.5559  jp=1.4743  kr=1.8166
  s=99 e=3 val_quadratic: us=2.8747  jp=1.8656  kr=2.3311
  s=99 e=3 val_hybrid: us=2.8747  jp=1.8656  kr=2.3311
  s=99 e=5 val_quadratic: us=2.8747  jp=1.8656  kr=2.3311
  s=99 e=5 val_hybrid: us=2.8747  jp=1.8656  kr=2.3311
  s=13 e=3 val_quadratic: us=1.9410  jp=2.4159  kr=1.5754
  s=13 e=3 val_hybrid: us=1.9410  jp=2.4159  kr=1.5754
  s=13 e=5 val_quadratic: us=2.4770  jp=1.5815  kr=1.8354
  s=13 e=5 val_hybrid: us=2.4770  jp=1.5815  kr=1.8354
  s=37 e=3 val_quadratic: us=1.9529  jp=1.6065  kr=2.0236
  s=37 e=3 val_hybrid: us=1.9529  jp=1.6065  kr=2.0236
  s=37 e=5 val_quadratic: us=1.9529  jp=1.6065  kr=2.0236
  s=37 e=5 val_hybrid: us=1.9529  jp=1.6065  kr=2.0236

=== DONE ===
