=== ULTRA-FINE TUNE ===

--- LR fine-tune ---
  s=13 lr=0.00006 e=3: us=1.2846  jp=1.6341  kr=2.2829

--- More seeds at lr=0.00005 ---
  s=2 e=2: us=1.7417  jp=1.2633  kr=2.6080
  s=2 e=3: us=1.5431  jp=1.5051  kr=2.4385
  s=4 e=2: us=1.4808  jp=1.2905  kr=2.4278
  s=4 e=3: us=1.3441  jp=1.5307  kr=2.3272
  s=5 e=2: us=1.7028  jp=1.2861  kr=2.5558
  s=5 e=3: us=1.6280  jp=1.5314  kr=2.4439
  s=6 e=2: us=1.4766  jp=1.2066  kr=2.5290
  s=6 e=3: us=1.4286  jp=1.4166  kr=2.4213
  s=8 e=2: us=1.6919  jp=1.1938  kr=2.5326
  s=8 e=3: us=1.5992  jp=1.4451  kr=2.3902
  s=9 e=2: us=1.7860  jp=1.1405  kr=2.4969
  s=9 e=3: us=1.4416  jp=1.3323  kr=2.2161
  s=10 e=2: us=1.4846  jp=1.1231  kr=2.4609
  s=10 e=3: us=1.3072  jp=1.3366  kr=2.2944
  s=11 e=2: us=1.2595  jp=1.2041  kr=2.4181
  s=11 e=3: us=1.1942  jp=1.4409  kr=2.2856
  s=12 e=2: us=1.6804  jp=1.1315  kr=2.5863
  s=12 e=3: us=1.6836  jp=1.3355  kr=2.4685
  s=14 e=2: us=1.8353  jp=1.1921  kr=2.7169
  s=14 e=3: us=1.6115  jp=1.4313  kr=2.5686
  s=15 e=2: us=1.4924  jp=1.2548  kr=2.5665
  s=15 e=3: us=1.3317  jp=1.5057  kr=2.3766
  s=16 e=2: us=1.4927  jp=1.1351  kr=2.4912
  s=16 e=3: us=1.5705  jp=1.3216  kr=2.4191
  s=17 e=2: us=1.2968  jp=1.1642  kr=2.3480
  s=17 e=3: us=1.2481  jp=1.3352  kr=2.1999
  s=18 e=2: us=1.4547  jp=1.2338  kr=2.4516
  s=18 e=3: us=1.2495  jp=1.4705  kr=2.1579
  s=19 e=2: us=1.4077  jp=1.2547  kr=2.4333
  s=19 e=3: us=1.2352  jp=1.4793  kr=2.2926
  s=20 e=2: us=1.1274  jp=1.2160  kr=2.4041
  s=20 e=3: us=1.2807  jp=1.4621  kr=2.3380
  s=22 e=2: us=1.4465  jp=1.1656  kr=2.4536
  s=22 e=3: us=1.3876  jp=1.4007  kr=2.2903
  s=23 e=2: us=1.2730  jp=1.1684  kr=2.3349
  s=23 e=3: us=1.1563  jp=1.3708  kr=2.1476
  s=24 e=2: us=1.4101  jp=1.1746  kr=2.4291
  s=24 e=3: us=1.4018  jp=1.4406  kr=2.2670
  s=25 e=2: us=1.4196  jp=1.1724  kr=2.4872
  s=25 e=3: us=1.3226  jp=1.3374  kr=2.3851
  s=30 e=2: us=1.6837  jp=1.1195  kr=2.4305
  s=30 e=3: us=1.5678  jp=1.3064  kr=2.2832
  s=33 e=2: us=1.9209  jp=1.2985  kr=2.6046
  s=33 e=3: us=1.4484  jp=1.5241  kr=2.3584
  s=39 e=2: us=1.4742  jp=1.1737  kr=2.3894
  s=39 e=3: us=1.4073  jp=1.4263  kr=2.2537
  s=44 e=2: us=1.5547  jp=1.2568  kr=2.5312
  s=44 e=3: us=1.5852  jp=1.4749  kr=2.4316
  s=50 e=2: us=1.5483  jp=1.2894  kr=2.4607
  s=50 e=3: us=1.5036  jp=1.4928  kr=2.3982
  s=66 e=2: us=1.6325  jp=1.1635  kr=2.6015
  s=66 e=3: us=1.4647  jp=1.3972  kr=2.4145
  s=77 e=2: us=1.5033  jp=1.1408  kr=2.4775
  s=77 e=3: us=1.2544  jp=1.4345  kr=2.1603
  s=100 e=2: us=1.5546  jp=1.1709  kr=2.4434
  s=100 e=3: us=1.6369  jp=1.3303  kr=2.4169
  s=123 e=2: us=1.4242  jp=1.2483  kr=2.3561
  s=123 e=3: us=1.2775  jp=1.4435  kr=2.2339
  s=200 e=2: us=1.4403  jp=1.2337  kr=2.4817
