Comparison,Target_Country,2025,2026,2027,2028
US vs Kr_fx,Kr_fx,-1382.9615,-1370.6727,-1378.4283,-1418.0676
US vs Jp_fx,Jp_fx,-145.8989,-145.38612,-146.28227,-150.56319
US vs Cn_fx,Cn_fx,-6.192674,-6.1526866,-6.1906295,-6.3808975
US vs Uk_fx,Uk_fx,0.2541892,0.26168436,0.25653952,0.23175663
