run_id,seed,data,use_graph,final_test_rse,final_test_rae,best_test_rse,max_target_rse,max_target_lag_mae,max_target_dir_mismatch,objective_rse,objective_total,return_code,policy_ok,trial_json,per_target_rrse_json,per_target_lag_mae_json,per_target_dir_mismatch_json,log_file
1,777,/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/data/sm_data.csv,0,3.0566,3.7446,5.654607871773958,4.973491668701172,7.338589668273926,0.6363636363636364,4.973491668701172,126.94454170903879,0,True,"{""lr"": 0.00012749999999999998, ""dropout"": 0.0, ""layers"": 3, ""conv_channels"": 32, ""residual_channels"": 128, ""skip_channels"": 256, ""end_channels"": 1024, ""subgraph_size"": 20, ""node_dim"": 50, ""seq_in_len"": 60, ""seq_out_len"": 1, ""ss_prob"": 0.1, ""focus_target_gain"": 100.0, ""anchor_focus_to_last"": 0.0, ""bias_penalty"": 0.6}","{""us_Trade Weighted Dollar Index"": 3.542759418487549, ""jp_fx"": 4.973491668701172, ""kr_fx"": 3.026975631713867}","{""us_Trade Weighted Dollar Index"": 0.5717301964759827, ""jp_fx"": 0.8306108117103577, ""kr_fx"": 7.338589668273926}","{""us_Trade Weighted Dollar Index"": 0.45454545454545453, ""jp_fx"": 0.6363636363636364, ""kr_fx"": 0.45454545454545453}",/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/tuning_runs/20260220_183544/run_001.log
2,777,/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/data/sm_data.csv,0,4.4624,5.1992,3.338492209315815,5.23496675491333,9.781017303466797,1.0,5.23496675491333,142.29968210158685,0,True,"{""lr"": 0.000102, ""dropout"": 0.0, ""layers"": 3, ""conv_channels"": 32, ""residual_channels"": 128, ""skip_channels"": 256, ""end_channels"": 1024, ""subgraph_size"": 20, ""node_dim"": 50, ""seq_in_len"": 24, ""seq_out_len"": 1, ""ss_prob"": 0.08, ""focus_target_gain"": 110.0, ""anchor_focus_to_last"": 0.0, ""bias_penalty"": 0.65}","{""us_Trade Weighted Dollar Index"": 5.23496675491333, ""jp_fx"": 3.788210391998291, ""kr_fx"": 4.467897415161133}","{""us_Trade Weighted Dollar Index"": 0.5409427881240845, ""jp_fx"": 0.8455283641815186, ""kr_fx"": 9.781017303466797}","{""us_Trade Weighted Dollar Index"": 0.36363636363636365, ""jp_fx"": 0.8181818181818182, ""kr_fx"": 1.0}",/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/tuning_runs/20260220_183544/run_002.log
3,777,/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/data/sm_data.csv,0,1.2056,1.724,3.1688122749249628,6.75788688659668,5.247636318206787,0.8181818181818182,6.75788688659668,243.11850386059868,0,True,"{""lr"": 8.5e-05, ""dropout"": 0.0, ""layers"": 3, ""conv_channels"": 32, ""residual_channels"": 128, ""skip_channels"": 256, ""end_channels"": 1024, ""subgraph_size"": 20, ""node_dim"": 50, ""seq_in_len"": 36, ""seq_out_len"": 1, ""ss_prob"": 0.05, ""focus_target_gain"": 120.0, ""anchor_focus_to_last"": 0.05, ""bias_penalty"": 0.7}","{""us_Trade Weighted Dollar Index"": 1.0980819463729858, ""jp_fx"": 6.75788688659668, ""kr_fx"": 0.9759068489074707}","{""us_Trade Weighted Dollar Index"": 0.44277331233024597, ""jp_fx"": 1.1867398023605347, ""kr_fx"": 5.247636318206787}","{""us_Trade Weighted Dollar Index"": 0.45454545454545453, ""jp_fx"": 0.8181818181818182, ""kr_fx"": 0.18181818181818182}",/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/tuning_runs/20260220_183544/run_003.log
