run_id,seed,final_test_rse,final_test_rae,best_test_rse,return_code,trial_json,log_file
13,123,0.7658,0.8638,0.7645807415962279,0,"{""lr"": 0.0002, ""dropout"": 0.1, ""layers"": 2, ""conv_channels"": 16, ""residual_channels"": 128, ""skip_channels"": 256, ""end_channels"": 1024, ""seq_in_len"": 12, ""seq_out_len"": 1, ""ss_prob"": 0.2}",/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/tuning_runs/20260215_135413/run_013.log
14,777,0.7586,0.8455,0.7577700690804039,0,"{""lr"": 0.0002, ""dropout"": 0.1, ""layers"": 2, ""conv_channels"": 16, ""residual_channels"": 128, ""skip_channels"": 256, ""end_channels"": 1024, ""seq_in_len"": 12, ""seq_out_len"": 1, ""ss_prob"": 0.2}",/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/tuning_runs/20260215_135413/run_014.log
15,2026,,,0.710674447327814,1,"{""lr"": 0.0002, ""dropout"": 0.1, ""layers"": 2, ""conv_channels"": 16, ""residual_channels"": 128, ""skip_channels"": 256, ""end_channels"": 1024, ""seq_in_len"": 12, ""seq_out_len"": 1, ""ss_prob"": 0.2}",/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/tuning_runs/20260215_135413/run_015.log
16,123,,,0.7151885732307715,1,"{""lr"": 0.0003, ""dropout"": 0.05, ""layers"": 2, ""conv_channels"": 16, ""residual_channels"": 128, ""skip_channels"": 256, ""end_channels"": 1024, ""seq_in_len"": 12, ""seq_out_len"": 1, ""ss_prob"": 0.3}",/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/tuning_runs/20260215_135413/run_016.log
17,777,,,0.7025569549486255,1,"{""lr"": 0.0003, ""dropout"": 0.05, ""layers"": 2, ""conv_channels"": 16, ""residual_channels"": 128, ""skip_channels"": 256, ""end_channels"": 1024, ""seq_in_len"": 12, ""seq_out_len"": 1, ""ss_prob"": 0.3}",/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/tuning_runs/20260215_135413/run_017.log
18,2026,,,0.658801772632732,1,"{""lr"": 0.0003, ""dropout"": 0.05, ""layers"": 2, ""conv_channels"": 16, ""residual_channels"": 128, ""skip_channels"": 256, ""end_channels"": 1024, ""seq_in_len"": 12, ""seq_out_len"": 1, ""ss_prob"": 0.3}",/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/tuning_runs/20260215_135413/run_018.log
19,123,1.0117,1.2331,1.0083168137993492,0,"{""lr"": 0.0002, ""dropout"": 0.1, ""layers"": 1, ""conv_channels"": 8, ""residual_channels"": 64, ""skip_channels"": 128, ""end_channels"": 512, ""seq_in_len"": 24, ""seq_out_len"": 1, ""ss_prob"": 0.2}",/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/tuning_runs/20260215_135413/run_019.log
20,777,0.9348,1.1459,0.9236887315467373,0,"{""lr"": 0.0002, ""dropout"": 0.1, ""layers"": 1, ""conv_channels"": 8, ""residual_channels"": 64, ""skip_channels"": 128, ""end_channels"": 512, ""seq_in_len"": 24, ""seq_out_len"": 1, ""ss_prob"": 0.2}",/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/tuning_runs/20260215_135413/run_020.log
21,2026,1.1032,1.3798,1.1009966490469396,0,"{""lr"": 0.0002, ""dropout"": 0.1, ""layers"": 1, ""conv_channels"": 8, ""residual_channels"": 64, ""skip_channels"": 128, ""end_channels"": 512, ""seq_in_len"": 24, ""seq_out_len"": 1, ""ss_prob"": 0.2}",/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/tuning_runs/20260215_135413/run_021.log
22,123,,,0.8401492604106808,1,"{""lr"": 0.0003, ""dropout"": 0.1, ""layers"": 1, ""conv_channels"": 8, ""residual_channels"": 64, ""skip_channels"": 128, ""end_channels"": 512, ""seq_in_len"": 12, ""seq_out_len"": 1, ""ss_prob"": 0.2}",/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/tuning_runs/20260215_135413/run_022.log
23,777,,,0.7884229604447601,1,"{""lr"": 0.0003, ""dropout"": 0.1, ""layers"": 1, ""conv_channels"": 8, ""residual_channels"": 64, ""skip_channels"": 128, ""end_channels"": 512, ""seq_in_len"": 12, ""seq_out_len"": 1, ""ss_prob"": 0.2}",/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/tuning_runs/20260215_135413/run_023.log
24,2026,0.7246,0.8081,0.7284617759740483,0,"{""lr"": 0.0003, ""dropout"": 0.1, ""layers"": 1, ""conv_channels"": 8, ""residual_channels"": 64, ""skip_channels"": 128, ""end_channels"": 512, ""seq_in_len"": 12, ""seq_out_len"": 1, ""ss_prob"": 0.2}",/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/tuning_runs/20260215_135413/run_024.log
