run_id,seed,data,use_graph,final_test_rse,final_test_rae,best_test_rse,max_target_rse,objective_rse,return_code,trial_json,per_target_rrse_json,log_file
1,123,/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/data/sm_data.csv,0,2.7073,2.9867,2.6983905130957173,,2.6983905130957173,0,"{""lr"": 0.0002, ""dropout"": 0.05, ""layers"": 2, ""conv_channels"": 16, ""residual_channels"": 128, ""skip_channels"": 256, ""end_channels"": 1024, ""seq_in_len"": 36, ""seq_out_len"": 1, ""ss_prob"": 0.15, ""focus_target_gain"": 45.0, ""trend_penalty"": 0.25, ""anchor_focus_to_last"": 0.7}",null,/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/tuning_runs/20260219_203546/run_001.log
2,777,/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/data/sm_data.csv,0,3.3096,3.6264,3.3088391512398085,,3.3088391512398085,0,"{""lr"": 0.0002, ""dropout"": 0.05, ""layers"": 2, ""conv_channels"": 16, ""residual_channels"": 128, ""skip_channels"": 256, ""end_channels"": 1024, ""seq_in_len"": 36, ""seq_out_len"": 1, ""ss_prob"": 0.15, ""focus_target_gain"": 45.0, ""trend_penalty"": 0.25, ""anchor_focus_to_last"": 0.7}",null,/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/tuning_runs/20260219_203546/run_002.log
3,2026,/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/data/sm_data.csv,0,3.8976,4.2792,3.8833666307833505,,3.8833666307833505,0,"{""lr"": 0.0002, ""dropout"": 0.05, ""layers"": 2, ""conv_channels"": 16, ""residual_channels"": 128, ""skip_channels"": 256, ""end_channels"": 1024, ""seq_in_len"": 36, ""seq_out_len"": 1, ""ss_prob"": 0.15, ""focus_target_gain"": 45.0, ""trend_penalty"": 0.25, ""anchor_focus_to_last"": 0.7}",null,/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/tuning_runs/20260219_203546/run_003.log
4,123,/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/data/sm_data.csv,0,2.9471,3.22,2.9375721374302266,,2.9375721374302266,0,"{""lr"": 0.00015, ""dropout"": 0.05, ""layers"": 2, ""conv_channels"": 16, ""residual_channels"": 128, ""skip_channels"": 256, ""end_channels"": 1024, ""seq_in_len"": 36, ""seq_out_len"": 1, ""ss_prob"": 0.1, ""focus_target_gain"": 45.0, ""trend_penalty"": 0.2, ""anchor_focus_to_last"": 0.8}",null,/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/tuning_runs/20260219_203546/run_004.log
5,777,/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/data/sm_data.csv,0,3.3288,3.6218,3.3294234141088372,,3.3294234141088372,0,"{""lr"": 0.00015, ""dropout"": 0.05, ""layers"": 2, ""conv_channels"": 16, ""residual_channels"": 128, ""skip_channels"": 256, ""end_channels"": 1024, ""seq_in_len"": 36, ""seq_out_len"": 1, ""ss_prob"": 0.1, ""focus_target_gain"": 45.0, ""trend_penalty"": 0.2, ""anchor_focus_to_last"": 0.8}",null,/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/tuning_runs/20260219_203546/run_005.log
6,2026,/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/data/sm_data.csv,0,3.7281,4.062,3.731971506671806,,3.731971506671806,0,"{""lr"": 0.00015, ""dropout"": 0.05, ""layers"": 2, ""conv_channels"": 16, ""residual_channels"": 128, ""skip_channels"": 256, ""end_channels"": 1024, ""seq_in_len"": 36, ""seq_out_len"": 1, ""ss_prob"": 0.1, ""focus_target_gain"": 45.0, ""trend_penalty"": 0.2, ""anchor_focus_to_last"": 0.8}",null,/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/tuning_runs/20260219_203546/run_006.log
7,123,/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/data/sm_data.csv,0,3.2323,3.4763,3.2309823618112588,,3.2309823618112588,0,"{""lr"": 0.00025, ""dropout"": 0.05, ""layers"": 2, ""conv_channels"": 16, ""residual_channels"": 128, ""skip_channels"": 256, ""end_channels"": 1024, ""seq_in_len"": 24, ""seq_out_len"": 1, ""ss_prob"": 0.15, ""focus_target_gain"": 50.0, ""trend_penalty"": 0.25, ""anchor_focus_to_last"": 0.6}",null,/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/tuning_runs/20260219_203546/run_007.log
8,777,/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/data/sm_data.csv,0,2.8603,3.0219,2.8536964270525313,,2.8536964270525313,0,"{""lr"": 0.00025, ""dropout"": 0.05, ""layers"": 2, ""conv_channels"": 16, ""residual_channels"": 128, ""skip_channels"": 256, ""end_channels"": 1024, ""seq_in_len"": 24, ""seq_out_len"": 1, ""ss_prob"": 0.15, ""focus_target_gain"": 50.0, ""trend_penalty"": 0.25, ""anchor_focus_to_last"": 0.6}",null,/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/tuning_runs/20260219_203546/run_008.log
9,2026,/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/data/sm_data.csv,0,2.9749,3.1874,2.9762910831119322,,2.9762910831119322,0,"{""lr"": 0.00025, ""dropout"": 0.05, ""layers"": 2, ""conv_channels"": 16, ""residual_channels"": 128, ""skip_channels"": 256, ""end_channels"": 1024, ""seq_in_len"": 24, ""seq_out_len"": 1, ""ss_prob"": 0.15, ""focus_target_gain"": 50.0, ""trend_penalty"": 0.25, ""anchor_focus_to_last"": 0.6}",null,/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/tuning_runs/20260219_203546/run_009.log
10,123,/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/data/sm_data.csv,0,2.5833,2.8635,2.5856207713936303,,2.5856207713936303,0,"{""lr"": 0.0002, ""dropout"": 0.1, ""layers"": 2, ""conv_channels"": 16, ""residual_channels"": 128, ""skip_channels"": 256, ""end_channels"": 1024, ""seq_in_len"": 36, ""seq_out_len"": 1, ""ss_prob"": 0.2, ""focus_target_gain"": 45.0, ""trend_penalty"": 0.2, ""anchor_focus_to_last"": 0.6}",null,/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/tuning_runs/20260219_203546/run_010.log
11,777,/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/data/sm_data.csv,0,3.3528,3.7023,3.3585282737199305,,3.3585282737199305,0,"{""lr"": 0.0002, ""dropout"": 0.1, ""layers"": 2, ""conv_channels"": 16, ""residual_channels"": 128, ""skip_channels"": 256, ""end_channels"": 1024, ""seq_in_len"": 36, ""seq_out_len"": 1, ""ss_prob"": 0.2, ""focus_target_gain"": 45.0, ""trend_penalty"": 0.2, ""anchor_focus_to_last"": 0.6}",null,/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/tuning_runs/20260219_203546/run_011.log
12,2026,/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/data/sm_data.csv,0,3.9292,4.3431,3.923292646419209,,3.923292646419209,0,"{""lr"": 0.0002, ""dropout"": 0.1, ""layers"": 2, ""conv_channels"": 16, ""residual_channels"": 128, ""skip_channels"": 256, ""end_channels"": 1024, ""seq_in_len"": 36, ""seq_out_len"": 1, ""ss_prob"": 0.2, ""focus_target_gain"": 45.0, ""trend_penalty"": 0.2, ""anchor_focus_to_last"": 0.6}",null,/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/tuning_runs/20260219_203546/run_012.log
13,123,/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/data/sm_data.csv,0,2.9862,3.2809,2.9768995988386764,,2.9768995988386764,0,"{""lr"": 0.00015, ""dropout"": 0.05, ""layers"": 3, ""conv_channels"": 32, ""residual_channels"": 128, ""skip_channels"": 256, ""end_channels"": 1024, ""seq_in_len"": 36, ""seq_out_len"": 1, ""ss_prob"": 0.1, ""focus_target_gain"": 45.0, ""trend_penalty"": 0.25, ""anchor_focus_to_last"": 0.7}",null,/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/tuning_runs/20260219_203546/run_013.log
