run_id,seed,final_test_rse,final_test_rae,best_test_rse,test_focus_rrse,objective_total,return_code,trial_json,log_file
1,777,5.5754,6.6334,5.585127634186252,5.5935,316.91840699999995,0,"{""lr"": 0.000132, ""dropout"": 0.03, ""layers"": 2, ""conv_channels"": 16, ""residual_channels"": 128, ""skip_channels"": 256, ""end_channels"": 1024, ""subgraph_size"": 40, ""node_dim"": 40, ""seq_in_len"": 60, ""seq_out_len"": 1, ""ss_prob"": 0.04000000000000001, ""focus_target_gain"": 56.0, ""anchor_focus_to_last"": 0.08000000000000002, ""bias_penalty"": 0.20000000000000004, ""focus_only_loss"": 1, ""lag_penalty_1step"": 1.2, ""lag_sign_penalty"": 0.5}",/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/tuning_runs_v2/20260221_103424/run_001.log
2,123,6.921,8.4127,6.904107493264988,7.3196,565.4029299200001,0,"{""lr"": 0.000132, ""dropout"": 0.03, ""layers"": 2, ""conv_channels"": 16, ""residual_channels"": 128, ""skip_channels"": 256, ""end_channels"": 1024, ""subgraph_size"": 40, ""node_dim"": 40, ""seq_in_len"": 60, ""seq_out_len"": 1, ""ss_prob"": 0.04000000000000001, ""focus_target_gain"": 56.0, ""anchor_focus_to_last"": 0.08000000000000002, ""bias_penalty"": 0.20000000000000004, ""focus_only_loss"": 1, ""lag_penalty_1step"": 1.2, ""lag_sign_penalty"": 0.5}",/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/tuning_runs_v2/20260221_103424/run_002.log
3,2026,4.5792,5.3788,4.595166528691394,4.6021,206.52879292,0,"{""lr"": 0.000132, ""dropout"": 0.03, ""layers"": 2, ""conv_channels"": 16, ""residual_channels"": 128, ""skip_channels"": 256, ""end_channels"": 1024, ""subgraph_size"": 40, ""node_dim"": 40, ""seq_in_len"": 60, ""seq_out_len"": 1, ""ss_prob"": 0.04000000000000001, ""focus_target_gain"": 56.0, ""anchor_focus_to_last"": 0.08000000000000002, ""bias_penalty"": 0.20000000000000004, ""focus_only_loss"": 1, ""lag_penalty_1step"": 1.2, ""lag_sign_penalty"": 0.5}",/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/tuning_runs_v2/20260221_103424/run_003.log
4,777,4.6414,5.3509,4.653194963528399,4.8399,230.85668412,0,"{""lr"": 0.00018150000000000002, ""dropout"": 0.009999999999999998, ""layers"": 2, ""conv_channels"": 16, ""residual_channels"": 128, ""skip_channels"": 256, ""end_channels"": 1024, ""subgraph_size"": 40, ""node_dim"": 40, ""seq_in_len"": 36, ""seq_out_len"": 1, ""ss_prob"": 0.07, ""focus_target_gain"": 64.39999999999999, ""anchor_focus_to_last"": 0.23000000000000004, ""bias_penalty"": 0.4, ""focus_only_loss"": 1, ""lag_penalty_1step"": 0.7999999999999999, ""lag_sign_penalty"": 0.5}",/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/tuning_runs_v2/20260221_103424/run_004.log
5,123,3.2646,3.6219,3.270986439447051,3.2883,96.58370268,0,"{""lr"": 0.00018150000000000002, ""dropout"": 0.009999999999999998, ""layers"": 2, ""conv_channels"": 16, ""residual_channels"": 128, ""skip_channels"": 256, ""end_channels"": 1024, ""subgraph_size"": 40, ""node_dim"": 40, ""seq_in_len"": 36, ""seq_out_len"": 1, ""ss_prob"": 0.07, ""focus_target_gain"": 64.39999999999999, ""anchor_focus_to_last"": 0.23000000000000004, ""bias_penalty"": 0.4, ""focus_only_loss"": 1, ""lag_penalty_1step"": 0.7999999999999999, ""lag_sign_penalty"": 0.5}",/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/tuning_runs_v2/20260221_103424/run_005.log
6,2026,2.985,3.3369,2.978159354018334,2.9934,77.59792271999999,0,"{""lr"": 0.00018150000000000002, ""dropout"": 0.009999999999999998, ""layers"": 2, ""conv_channels"": 16, ""residual_channels"": 128, ""skip_channels"": 256, ""end_channels"": 1024, ""subgraph_size"": 40, ""node_dim"": 40, ""seq_in_len"": 36, ""seq_out_len"": 1, ""ss_prob"": 0.07, ""focus_target_gain"": 64.39999999999999, ""anchor_focus_to_last"": 0.23000000000000004, ""bias_penalty"": 0.4, ""focus_only_loss"": 1, ""lag_penalty_1step"": 0.7999999999999999, ""lag_sign_penalty"": 0.5}",/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/tuning_runs_v2/20260221_103424/run_006.log
7,777,5.0361,5.8946,5.034654253178445,5.0449,252.91829212000002,0,"{""lr"": 0.0001485, ""dropout"": 0.009999999999999998, ""layers"": 2, ""conv_channels"": 16, ""residual_channels"": 128, ""skip_channels"": 256, ""end_channels"": 1024, ""subgraph_size"": 40, ""node_dim"": 40, ""seq_in_len"": 60, ""seq_out_len"": 1, ""ss_prob"": 0.08, ""focus_target_gain"": 56.0, ""anchor_focus_to_last"": 0.23000000000000004, ""bias_penalty"": 0.35000000000000003, ""focus_only_loss"": 1, ""lag_penalty_1step"": 1.4, ""lag_sign_penalty"": 0.8}",/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/tuning_runs_v2/20260221_103424/run_007.log
8,123,6.5897,7.9305,6.590078374253211,6.7666,478.00990672,0,"{""lr"": 0.0001485, ""dropout"": 0.009999999999999998, ""layers"": 2, ""conv_channels"": 16, ""residual_channels"": 128, ""skip_channels"": 256, ""end_channels"": 1024, ""subgraph_size"": 40, ""node_dim"": 40, ""seq_in_len"": 60, ""seq_out_len"": 1, ""ss_prob"": 0.08, ""focus_target_gain"": 56.0, ""anchor_focus_to_last"": 0.23000000000000004, ""bias_penalty"": 0.35000000000000003, ""focus_only_loss"": 1, ""lag_penalty_1step"": 1.4, ""lag_sign_penalty"": 0.8}",/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/tuning_runs_v2/20260221_103424/run_008.log
9,2026,4.2178,4.869,4.220751491711878,4.23,171.18480000000002,0,"{""lr"": 0.0001485, ""dropout"": 0.009999999999999998, ""layers"": 2, ""conv_channels"": 16, ""residual_channels"": 128, ""skip_channels"": 256, ""end_channels"": 1024, ""subgraph_size"": 40, ""node_dim"": 40, ""seq_in_len"": 60, ""seq_out_len"": 1, ""ss_prob"": 0.08, ""focus_target_gain"": 56.0, ""anchor_focus_to_last"": 0.23000000000000004, ""bias_penalty"": 0.35000000000000003, ""focus_only_loss"": 1, ""lag_penalty_1step"": 1.4, ""lag_sign_penalty"": 0.8}",/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/tuning_runs_v2/20260221_103424/run_009.log
10,777,4.345,5.0186,4.352897310526792,4.3674,183.84879312,0,"{""lr"": 0.000198, ""dropout"": 0.009999999999999998, ""layers"": 2, ""conv_channels"": 16, ""residual_channels"": 128, ""skip_channels"": 256, ""end_channels"": 1024, ""subgraph_size"": 40, ""node_dim"": 40, ""seq_in_len"": 60, ""seq_out_len"": 1, ""ss_prob"": 0.060000000000000005, ""focus_target_gain"": 64.39999999999999, ""anchor_focus_to_last"": 0.13, ""bias_penalty"": 0.5, ""focus_only_loss"": 1, ""lag_penalty_1step"": 1.2, ""lag_sign_penalty"": 0.8}",/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/tuning_runs_v2/20260221_103424/run_010.log
