run_id,seed,data,use_graph,final_test_rse,final_test_rae,best_test_rse,max_target_rse,max_target_lag_mae,max_target_dir_mismatch,objective_rse,objective_total,return_code,policy_ok,trial_json,per_target_rrse_json,per_target_lag_mae_json,per_target_dir_mismatch_json,log_file
1,777,/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/data/sm_data.csv,0,1.052,1.5688,3.4176811726205996,7.025302410125732,6.761152744293213,0.7272727272727273,7.025302410125732,264.26574713048245,0,True,"{""lr"": 8.5e-05, ""dropout"": 0.0, ""layers"": 3, ""conv_channels"": 32, ""residual_channels"": 128, ""skip_channels"": 256, ""end_channels"": 1024, ""subgraph_size"": 30, ""node_dim"": 40, ""seq_in_len"": 36, ""seq_out_len"": 1, ""ss_prob"": 0.05, ""focus_target_gain"": 90.0, ""anchor_focus_to_last"": 0.2, ""bias_penalty"": 0.45, ""lag_penalty_1step"": 1.0, ""lag_sign_penalty"": 0.4}","{""us_Trade Weighted Dollar Index"": 1.322022557258606, ""jp_fx"": 7.025302410125732, ""kr_fx"": 0.7470742464065552}","{""us_Trade Weighted Dollar Index"": 0.5856101512908936, ""jp_fx"": 1.3024749755859375, ""kr_fx"": 6.761152744293213}","{""us_Trade Weighted Dollar Index"": 0.6363636363636364, ""jp_fx"": 0.7272727272727273, ""kr_fx"": 0.18181818181818182}",/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/tuning_runs/20260220_211549/run_001.log
2,777,/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/data/sm_data.csv,0,1.6151,2.1663,5.629208791491377,6.9393205642700195,10.252896308898926,0.7272727272727273,6.9393205642700195,258.3643678908066,0,True,"{""lr"": 0.00017, ""dropout"": 0.02, ""layers"": 2, ""conv_channels"": 32, ""residual_channels"": 128, ""skip_channels"": 256, ""end_channels"": 1024, ""subgraph_size"": 30, ""node_dim"": 40, ""seq_in_len"": 60, ""seq_out_len"": 1, ""ss_prob"": 0.1, ""focus_target_gain"": 70.0, ""anchor_focus_to_last"": 0.2, ""bias_penalty"": 0.35, ""lag_penalty_1step"": 1.0, ""lag_sign_penalty"": 0.4}","{""us_Trade Weighted Dollar Index"": 3.074079990386963, ""jp_fx"": 6.9393205642700195, ""kr_fx"": 1.4420181512832642}","{""us_Trade Weighted Dollar Index"": 0.8829519152641296, ""jp_fx"": 1.6675997972488403, ""kr_fx"": 10.252896308898926}","{""us_Trade Weighted Dollar Index"": 0.7272727272727273, ""jp_fx"": 0.6363636363636364, ""kr_fx"": 0.09090909090909091}",/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/tuning_runs/20260220_211549/run_002.log
3,777,/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/data/sm_data.csv,0,4.1622,4.8944,3.2114675286322627,4.7948079109191895,9.072687149047852,0.9090909090909091,4.7948079109191895,117.82613873925456,0,True,"{""lr"": 0.000102, ""dropout"": 0.02, ""layers"": 2, ""conv_channels"": 16, ""residual_channels"": 128, ""skip_channels"": 256, ""end_channels"": 1024, ""subgraph_size"": 20, ""node_dim"": 50, ""seq_in_len"": 24, ""seq_out_len"": 1, ""ss_prob"": 0.05, ""focus_target_gain"": 70.0, ""anchor_focus_to_last"": 0.2, ""bias_penalty"": 0.4, ""lag_penalty_1step"": 1.0, ""lag_sign_penalty"": 0.4}","{""us_Trade Weighted Dollar Index"": 4.7948079109191895, ""jp_fx"": 3.8756303787231445, ""kr_fx"": 4.164083480834961}","{""us_Trade Weighted Dollar Index"": 0.5036780834197998, ""jp_fx"": 0.7897158265113831, ""kr_fx"": 9.072687149047852}","{""us_Trade Weighted Dollar Index"": 0.2727272727272727, ""jp_fx"": 0.6363636363636364, ""kr_fx"": 0.9090909090909091}",/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/tuning_runs/20260220_211549/run_003.log
4,777,/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/data/sm_data.csv,0,4.4208,5.12,3.120031533659415,5.035664081573486,9.510997772216797,0.8181818181818182,5.035664081573486,130.92872367170102,0,True,"{""lr"": 0.00012749999999999998, ""dropout"": 0.02, ""layers"": 2, ""conv_channels"": 16, ""residual_channels"": 128, ""skip_channels"": 256, ""end_channels"": 1024, ""subgraph_size"": 40, ""node_dim"": 30, ""seq_in_len"": 24, ""seq_out_len"": 1, ""ss_prob"": 0.1, ""focus_target_gain"": 60.0, ""anchor_focus_to_last"": 0.2, ""bias_penalty"": 0.25, ""lag_penalty_1step"": 1.0, ""lag_sign_penalty"": 0.4}","{""us_Trade Weighted Dollar Index"": 5.035664081573486, ""jp_fx"": 3.590808391571045, ""kr_fx"": 4.428140640258789}","{""us_Trade Weighted Dollar Index"": 0.49146825075149536, ""jp_fx"": 0.8109949231147766, ""kr_fx"": 9.510997772216797}","{""us_Trade Weighted Dollar Index"": 0.18181818181818182, ""jp_fx"": 0.6363636363636364, ""kr_fx"": 0.8181818181818182}",/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/tuning_runs/20260220_211549/run_004.log
5,777,/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/data/sm_data.csv,0,4.3069,5.0584,3.479000079120648,5.0872111320495605,9.535079002380371,1.0,5.0872111320495605,133.8260167026411,0,True,"{""lr"": 0.00012749999999999998, ""dropout"": 0.0, ""layers"": 3, ""conv_channels"": 32, ""residual_channels"": 128, ""skip_channels"": 256, ""end_channels"": 1024, ""subgraph_size"": 30, ""node_dim"": 40, ""seq_in_len"": 24, ""seq_out_len"": 1, ""ss_prob"": 0.1, ""focus_target_gain"": 80.0, ""anchor_focus_to_last"": 0.2, ""bias_penalty"": 0.4, ""lag_penalty_1step"": 1.0, ""lag_sign_penalty"": 0.4}","{""us_Trade Weighted Dollar Index"": 5.0872111320495605, ""jp_fx"": 4.027805328369141, ""kr_fx"": 4.308404922485352}","{""us_Trade Weighted Dollar Index"": 0.5201637744903564, ""jp_fx"": 0.8005481958389282, ""kr_fx"": 9.535079002380371}","{""us_Trade Weighted Dollar Index"": 0.36363636363636365, ""jp_fx"": 0.6363636363636364, ""kr_fx"": 1.0}",/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/tuning_runs/20260220_211549/run_005.log
6,777,/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/data/sm_data.csv,0,4.2113,5.0274,3.2478906002767487,5.138397693634033,6.989102363586426,0.8181818181818182,5.138397693634033,136.05589045220594,0,True,"{""lr"": 8.5e-05, ""dropout"": 0.05, ""layers"": 2, ""conv_channels"": 16, ""residual_channels"": 128, ""skip_channels"": 256, ""end_channels"": 1024, ""subgraph_size"": 20, ""node_dim"": 50, ""seq_in_len"": 36, ""seq_out_len"": 1, ""ss_prob"": 0.05, ""focus_target_gain"": 60.0, ""anchor_focus_to_last"": 0.2, ""bias_penalty"": 0.3, ""lag_penalty_1step"": 1.0, ""lag_sign_penalty"": 0.4}","{""us_Trade Weighted Dollar Index"": 5.138397693634033, ""jp_fx"": 3.75253963470459, ""kr_fx"": 4.214354515075684}","{""us_Trade Weighted Dollar Index"": 0.659633994102478, ""jp_fx"": 0.8682334423065186, ""kr_fx"": 6.989102363586426}","{""us_Trade Weighted Dollar Index"": 0.8181818181818182, ""jp_fx"": 0.7272727272727273, ""kr_fx"": 0.18181818181818182}",/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/tuning_runs/20260220_211549/run_006.log
