run_id,seed,final_test_rse,final_test_rae,best_test_rse,test_focus_rrse,objective_total,return_code,trial_json,log_file
1,777,4.1904,4.8401,4.171628105097886,4.1841,167.05521371999998,0,"{""lr"": 0.000132, ""dropout"": 0.03, ""layers"": 2, ""conv_channels"": 16, ""residual_channels"": 128, ""skip_channels"": 256, ""end_channels"": 1024, ""subgraph_size"": 40, ""node_dim"": 40, ""seq_in_len"": 60, ""seq_out_len"": 1, ""ss_prob"": 0.04000000000000001, ""focus_target_gain"": 56.0, ""anchor_focus_to_last"": 0.23000000000000004, ""bias_penalty"": 0.5, ""focus_only_loss"": 1, ""lag_penalty_1step"": 0.7999999999999999, ""lag_sign_penalty"": 0.39999999999999997}",/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/tuning_runs_v2/20260221_095818/run_001.log
2,777,3.6352,4.1269,3.618209347705107,3.632,121.345088,0,"{""lr"": 0.000165, ""dropout"": 0.019999999999999997, ""layers"": 2, ""conv_channels"": 16, ""residual_channels"": 128, ""skip_channels"": 256, ""end_channels"": 1024, ""subgraph_size"": 40, ""node_dim"": 40, ""seq_in_len"": 60, ""seq_out_len"": 1, ""ss_prob"": 0.04000000000000001, ""focus_target_gain"": 64.39999999999999, ""anchor_focus_to_last"": 0.23000000000000004, ""bias_penalty"": 0.5, ""focus_only_loss"": 1, ""lag_penalty_1step"": 1.0, ""lag_sign_penalty"": 0.8}",/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/tuning_runs_v2/20260221_095818/run_002.log
3,777,4.4189,5.1064,4.450736223378621,4.447,191.392708,0,"{""lr"": 0.000165, ""dropout"": 0.05, ""layers"": 2, ""conv_channels"": 16, ""residual_channels"": 128, ""skip_channels"": 256, ""end_channels"": 1024, ""subgraph_size"": 40, ""node_dim"": 40, ""seq_in_len"": 48, ""seq_out_len"": 1, ""ss_prob"": 0.08, ""focus_target_gain"": 47.6, ""anchor_focus_to_last"": 0.16000000000000003, ""bias_penalty"": 0.30000000000000004, ""focus_only_loss"": 1, ""lag_penalty_1step"": 0.7999999999999999, ""lag_sign_penalty"": 0.7}",/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/tuning_runs_v2/20260221_095818/run_003.log
4,777,4.1963,4.8077,4.21170047886437,4.2254,170.76866191999997,0,"{""lr"": 0.00018150000000000002, ""dropout"": 0.03, ""layers"": 2, ""conv_channels"": 16, ""residual_channels"": 128, ""skip_channels"": 256, ""end_channels"": 1024, ""subgraph_size"": 40, ""node_dim"": 40, ""seq_in_len"": 48, ""seq_out_len"": 1, ""ss_prob"": 0.07, ""focus_target_gain"": 64.39999999999999, ""anchor_focus_to_last"": 0.2, ""bias_penalty"": 0.5, ""focus_only_loss"": 1, ""lag_penalty_1step"": 1.6, ""lag_sign_penalty"": 0.39999999999999997}",/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/tuning_runs_v2/20260221_095818/run_004.log
