run_id,seed,data,use_graph,final_test_rse,final_test_rae,best_test_rse,max_target_rse,max_target_lag_mae,max_target_dir_mismatch,objective_rse,objective_total,return_code,policy_ok,trial_json,per_target_rrse_json,per_target_lag_mae_json,per_target_dir_mismatch_json,log_file
1,777,/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/data/sm_data.csv,0,4.802,5.8014,6.807797539136423,6.950891494750977,9.583329200744629,0.8181818181818182,6.950891494750977,259.11254843905823,0,True,"{""lr"": 0.00017, ""dropout"": 0.05, ""layers"": 2, ""conv_channels"": 16, ""residual_channels"": 128, ""skip_channels"": 256, ""end_channels"": 1024, ""subgraph_size"": 40, ""node_dim"": 30, ""seq_in_len"": 60, ""seq_out_len"": 1, ""ss_prob"": 0.15, ""focus_target_gain"": 35.0, ""anchor_focus_to_last"": 0.0, ""bias_penalty"": 0.3}","{""us_Trade Weighted Dollar Index"": 6.950891494750977, ""jp_fx"": 4.238502025604248, ""kr_fx"": 4.8032331466674805}","{""us_Trade Weighted Dollar Index"": 0.8778908252716064, ""jp_fx"": 0.9109094738960266, ""kr_fx"": 9.583329200744629}","{""us_Trade Weighted Dollar Index"": 0.8181818181818182, ""jp_fx"": 0.36363636363636365, ""kr_fx"": 0.18181818181818182}",/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/tuning_runs/20260220_175117/run_001.log
2,777,/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/data/sm_data.csv,0,4.468,5.1656,3.13124305039051,5.1062750816345215,9.764803886413574,0.9090909090909091,5.1062750816345215,134.9450059102697,0,True,"{""lr"": 0.00012749999999999998, ""dropout"": 0.02, ""layers"": 2, ""conv_channels"": 16, ""residual_channels"": 128, ""skip_channels"": 256, ""end_channels"": 1024, ""subgraph_size"": 40, ""node_dim"": 30, ""seq_in_len"": 24, ""seq_out_len"": 1, ""ss_prob"": 0.1, ""focus_target_gain"": 45.0, ""anchor_focus_to_last"": 0.05, ""bias_penalty"": 0.25}","{""us_Trade Weighted Dollar Index"": 5.1062750816345215, ""jp_fx"": 3.605205774307251, ""kr_fx"": 4.475605010986328}","{""us_Trade Weighted Dollar Index"": 0.5250473022460938, ""jp_fx"": 0.8091416954994202, ""kr_fx"": 9.764803886413574}","{""us_Trade Weighted Dollar Index"": 0.2727272727272727, ""jp_fx"": 0.8181818181818182, ""kr_fx"": 0.9090909090909091}",/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/tuning_runs/20260220_175117/run_002.log
3,777,/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/data/sm_data.csv,0,0.9711,1.2939,3.1048289041302586,7.394345760345459,5.457353115081787,0.7272727272727273,7.394345760345459,294.0234320910036,0,True,"{""lr"": 8.5e-05, ""dropout"": 0.02, ""layers"": 2, ""conv_channels"": 16, ""residual_channels"": 128, ""skip_channels"": 256, ""end_channels"": 1024, ""subgraph_size"": 40, ""node_dim"": 30, ""seq_in_len"": 36, ""seq_out_len"": 1, ""ss_prob"": 0.05, ""focus_target_gain"": 55.0, ""anchor_focus_to_last"": 0.1, ""bias_penalty"": 0.35}","{""us_Trade Weighted Dollar Index"": 1.485987663269043, ""jp_fx"": 7.394345760345459, ""kr_fx"": 0.5755557417869568}","{""us_Trade Weighted Dollar Index"": 0.4791682958602905, ""jp_fx"": 1.1080031394958496, ""kr_fx"": 5.457353115081787}","{""us_Trade Weighted Dollar Index"": 0.45454545454545453, ""jp_fx"": 0.7272727272727273, ""kr_fx"": 0.18181818181818182}",/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/tuning_runs/20260220_175117/run_003.log
4,777,/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/data/sm_data.csv,0,4.3288,5.0832,3.482028367785086,5.120160102844238,9.613980293273926,1.0,5.120160102844238,135.6989314316448,0,True,"{""lr"": 0.00012749999999999998, ""dropout"": 0.0, ""layers"": 3, ""conv_channels"": 32, ""residual_channels"": 128, ""skip_channels"": 256, ""end_channels"": 1024, ""subgraph_size"": 30, ""node_dim"": 40, ""seq_in_len"": 24, ""seq_out_len"": 1, ""ss_prob"": 0.1, ""focus_target_gain"": 60.0, ""anchor_focus_to_last"": 0.1, ""bias_penalty"": 0.4}","{""us_Trade Weighted Dollar Index"": 5.120160102844238, ""jp_fx"": 4.055569171905518, ""kr_fx"": 4.330191135406494}","{""us_Trade Weighted Dollar Index"": 0.527553915977478, ""jp_fx"": 0.789893388748169, ""kr_fx"": 9.613980293273926}","{""us_Trade Weighted Dollar Index"": 0.36363636363636365, ""jp_fx"": 0.6363636363636364, ""kr_fx"": 1.0}",/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/tuning_runs/20260220_175117/run_004.log
5,777,/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/data/sm_data.csv,0,1.0817,1.611,3.3664697156062364,6.9684157371521,6.532504081726074,0.7272727272727273,6.9684157371521,259.7166819221325,0,True,"{""lr"": 8.5e-05, ""dropout"": 0.0, ""layers"": 3, ""conv_channels"": 32, ""residual_channels"": 128, ""skip_channels"": 256, ""end_channels"": 1024, ""subgraph_size"": 30, ""node_dim"": 40, ""seq_in_len"": 36, ""seq_out_len"": 1, ""ss_prob"": 0.05, ""focus_target_gain"": 65.0, ""anchor_focus_to_last"": 0.15, ""bias_penalty"": 0.45}","{""us_Trade Weighted Dollar Index"": 1.2947747707366943, ""jp_fx"": 6.9684157371521, ""kr_fx"": 0.7947753071784973}","{""us_Trade Weighted Dollar Index"": 0.5683801770210266, ""jp_fx"": 1.2703274488449097, ""kr_fx"": 6.532504081726074}","{""us_Trade Weighted Dollar Index"": 0.6363636363636364, ""jp_fx"": 0.7272727272727273, ""kr_fx"": 0.18181818181818182}",/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/tuning_runs/20260220_175117/run_005.log
6,777,/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/data/sm_data.csv,0,6.2964,7.3791,5.531207847574627,9.009076118469238,6.914484024047852,0.8181818181818182,9.009076118469238,445.2457736457205,0,True,"{""lr"": 0.0002125, ""dropout"": 0.05, ""layers"": 2, ""conv_channels"": 16, ""residual_channels"": 128, ""skip_channels"": 256, ""end_channels"": 1024, ""subgraph_size"": 40, ""node_dim"": 30, ""seq_in_len"": 48, ""seq_out_len"": 1, ""ss_prob"": 0.2, ""focus_target_gain"": 35.0, ""anchor_focus_to_last"": 0.0, ""bias_penalty"": 0.2}","{""us_Trade Weighted Dollar Index"": 9.009076118469238, ""jp_fx"": 2.830274820327759, ""kr_fx"": 6.31885290145874}","{""us_Trade Weighted Dollar Index"": 0.7619545459747314, ""jp_fx"": 0.7185960412025452, ""kr_fx"": 6.914484024047852}","{""us_Trade Weighted Dollar Index"": 0.8181818181818182, ""jp_fx"": 0.5454545454545454, ""kr_fx"": 0.18181818181818182}",/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/tuning_runs/20260220_175117/run_006.log
7,777,/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/data/sm_data.csv,0,1.5493,2.1677,4.431419517273169,7.089130878448486,7.565596103668213,0.7272727272727273,7.089130878448486,269.55313157703273,0,True,"{""lr"": 0.00017, ""dropout"": 0.02, ""layers"": 2, ""conv_channels"": 32, ""residual_channels"": 128, ""skip_channels"": 256, ""end_channels"": 1024, ""subgraph_size"": 30, ""node_dim"": 40, ""seq_in_len"": 60, ""seq_out_len"": 1, ""ss_prob"": 0.1, ""focus_target_gain"": 50.0, ""anchor_focus_to_last"": 0.1, ""bias_penalty"": 0.35}","{""us_Trade Weighted Dollar Index"": 2.7803943157196045, ""jp_fx"": 7.089130878448486, ""kr_fx"": 1.3592978715896606}","{""us_Trade Weighted Dollar Index"": 0.7373456358909607, ""jp_fx"": 1.5104023218154907, ""kr_fx"": 7.565596103668213}","{""us_Trade Weighted Dollar Index"": 0.6363636363636364, ""jp_fx"": 0.7272727272727273, ""kr_fx"": 0.09090909090909091}",/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/tuning_runs/20260220_175117/run_007.log
8,777,/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/data/sm_data.csv,0,4.189,4.9238,3.212858477528643,4.83491325378418,9.1185302734375,1.0,4.83491325378418,119.96338332914601,0,True,"{""lr"": 0.000102, ""dropout"": 0.02, ""layers"": 2, ""conv_channels"": 16, ""residual_channels"": 128, ""skip_channels"": 256, ""end_channels"": 1024, ""subgraph_size"": 20, ""node_dim"": 50, ""seq_in_len"": 24, ""seq_out_len"": 1, ""ss_prob"": 0.05, ""focus_target_gain"": 50.0, ""anchor_focus_to_last"": 0.15, ""bias_penalty"": 0.4}","{""us_Trade Weighted Dollar Index"": 4.83491325378418, ""jp_fx"": 3.871018409729004, ""kr_fx"": 4.191220283508301}","{""us_Trade Weighted Dollar Index"": 0.5075218677520752, ""jp_fx"": 0.7875185608863831, ""kr_fx"": 9.1185302734375}","{""us_Trade Weighted Dollar Index"": 0.2727272727272727, ""jp_fx"": 0.6363636363636364, ""kr_fx"": 1.0}",/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/tuning_runs/20260220_175117/run_008.log
