run_id,seed,final_test_rse,final_test_rae,best_test_rse,test_focus_rrse,objective_total,return_code,trial_json,log_file
1,777,3.5299,3.7776,3.52988852283376,2.5248,51.72258047999999,0,"{""lr"": 7.500000000000001e-05, ""dropout"": 0.0, ""layers"": 3, ""conv_channels"": 16, ""residual_channels"": 128, ""skip_channels"": 256, ""end_channels"": 1024, ""subgraph_size"": 20, ""node_dim"": 30, ""seq_in_len"": 24, ""seq_out_len"": 1, ""ss_prob"": 0.03, ""focus_target_gain"": 108.0, ""anchor_focus_to_last"": 0.16999999999999998, ""bias_penalty"": 0.35, ""focus_only_loss"": 1}",/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/tuning_runs_v2/20260221_002023/run_001.log
2,777,3.1902,3.4038,3.187750043893333,2.242,38.656768,0,"{""lr"": 0.0001125, ""dropout"": 0.01, ""layers"": 2, ""conv_channels"": 16, ""residual_channels"": 128, ""skip_channels"": 256, ""end_channels"": 1024, ""subgraph_size"": 40, ""node_dim"": 50, ""seq_in_len"": 24, ""seq_out_len"": 1, ""ss_prob"": 0.09000000000000001, ""focus_target_gain"": 84.0, ""anchor_focus_to_last"": 0.22, ""bias_penalty"": 0.35000000000000003, ""focus_only_loss"": 1}",/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/tuning_runs_v2/20260221_002023/run_002.log
3,777,5.1016,6.0207,5.107318508973178,4.6274,209.05256911999996,0,"{""lr"": 8.800000000000001e-05, ""dropout"": 0.01, ""layers"": 2, ""conv_channels"": 16, ""residual_channels"": 128, ""skip_channels"": 256, ""end_channels"": 1024, ""subgraph_size"": 40, ""node_dim"": 40, ""seq_in_len"": 48, ""seq_out_len"": 1, ""ss_prob"": 0.04, ""focus_target_gain"": 99.0, ""anchor_focus_to_last"": 0.08, ""bias_penalty"": 0.6, ""focus_only_loss"": 1}",/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/tuning_runs_v2/20260221_002023/run_003.log
