run_id,seed,data,use_graph,final_test_rse,final_test_rae,best_test_rse,max_target_rse,objective_rse,return_code,trial_json,per_target_rrse_json,log_file
1,777,/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/data/sm_data.csv,0,3.0905,3.2091,3.0894184959740856,,3.0894184959740856,0,"{""lr"": 0.00015, ""dropout"": 0.1, ""layers"": 2, ""conv_channels"": 16, ""residual_channels"": 128, ""skip_channels"": 256, ""end_channels"": 1024, ""seq_in_len"": 24, ""seq_out_len"": 1, ""ss_prob"": 0.1, ""focus_target_gain"": 30.0, ""trend_penalty"": 0.1, ""anchor_focus_to_last"": 0.05}",null,/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/tuning_runs/20260219_135436/run_001.log
2,777,/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/data/sm_data.csv,0,2.9864,3.0903,2.9734480785027673,,2.9734480785027673,0,"{""lr"": 0.0002, ""dropout"": 0.1, ""layers"": 2, ""conv_channels"": 16, ""residual_channels"": 128, ""skip_channels"": 256, ""end_channels"": 1024, ""seq_in_len"": 24, ""seq_out_len"": 1, ""ss_prob"": 0.2, ""focus_target_gain"": 40.0, ""trend_penalty"": 0.2, ""anchor_focus_to_last"": 0.1}",null,/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/tuning_runs/20260219_135436/run_002.log
3,777,/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/data/sm_data.csv,0,2.8703,2.9567,2.8562095545441246,,2.8562095545441246,0,"{""lr"": 0.00025, ""dropout"": 0.1, ""layers"": 2, ""conv_channels"": 16, ""residual_channels"": 128, ""skip_channels"": 256, ""end_channels"": 1024, ""seq_in_len"": 24, ""seq_out_len"": 1, ""ss_prob"": 0.2, ""focus_target_gain"": 50.0, ""trend_penalty"": 0.25, ""anchor_focus_to_last"": 0.1}",null,/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/tuning_runs/20260219_135436/run_003.log
4,777,/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/data/sm_data.csv,0,2.7433,2.8146,2.7284512716193476,,2.7284512716193476,0,"{""lr"": 0.0003, ""dropout"": 0.1, ""layers"": 2, ""conv_channels"": 16, ""residual_channels"": 128, ""skip_channels"": 256, ""end_channels"": 1024, ""seq_in_len"": 24, ""seq_out_len"": 1, ""ss_prob"": 0.2, ""focus_target_gain"": 60.0, ""trend_penalty"": 0.3, ""anchor_focus_to_last"": 0.12}",null,/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/tuning_runs/20260219_135436/run_004.log
5,777,/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/data/sm_data.csv,0,2.9818,3.0842,2.98843078341721,,2.98843078341721,0,"{""lr"": 0.0002, ""dropout"": 0.05, ""layers"": 2, ""conv_channels"": 16, ""residual_channels"": 128, ""skip_channels"": 256, ""end_channels"": 1024, ""seq_in_len"": 24, ""seq_out_len"": 1, ""ss_prob"": 0.1, ""focus_target_gain"": 50.0, ""trend_penalty"": 0.2, ""anchor_focus_to_last"": 0.05}",null,/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/tuning_runs/20260219_135436/run_005.log
6,777,/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/data/sm_data.csv,0,2.7348,2.8073,2.7389408127449104,,2.7389408127449104,0,"{""lr"": 0.0003, ""dropout"": 0.05, ""layers"": 2, ""conv_channels"": 16, ""residual_channels"": 128, ""skip_channels"": 256, ""end_channels"": 1024, ""seq_in_len"": 24, ""seq_out_len"": 1, ""ss_prob"": 0.1, ""focus_target_gain"": 60.0, ""trend_penalty"": 0.25, ""anchor_focus_to_last"": 0.08}",null,/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/tuning_runs/20260219_135436/run_006.log
