run_id,seed,data,use_graph,final_test_rse,final_test_rae,best_test_rse,max_target_rse,objective_rse,return_code,policy_ok,trial_json,per_target_rrse_json,log_file
1,777,/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/data/sm_data.csv,0,6.1054,6.9787,6.105415100547201,,6.105415100547201,0,True,"{""lr"": 0.00017, ""dropout"": 0.05, ""layers"": 2, ""conv_channels"": 16, ""residual_channels"": 128, ""skip_channels"": 256, ""end_channels"": 1024, ""subgraph_size"": 40, ""node_dim"": 30, ""seq_in_len"": 60, ""seq_out_len"": 1, ""ss_prob"": 0.15, ""focus_target_gain"": 45.0, ""anchor_focus_to_last"": 0.7}",null,/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/tuning_runs/20260220_120605/run_001.log
2,777,/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/data/sm_data.csv,0,3.0509,3.266,3.0509112872395003,,3.0509112872395003,0,True,"{""lr"": 0.00012749999999999998, ""dropout"": 0.02, ""layers"": 2, ""conv_channels"": 16, ""residual_channels"": 128, ""skip_channels"": 256, ""end_channels"": 1024, ""subgraph_size"": 40, ""node_dim"": 30, ""seq_in_len"": 24, ""seq_out_len"": 1, ""ss_prob"": 0.1, ""focus_target_gain"": 60.0, ""anchor_focus_to_last"": 0.8}",null,/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/tuning_runs/20260220_120605/run_002.log
3,777,/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/data/sm_data.csv,0,3.2286,3.4985,3.2286409793279844,,3.2286409793279844,0,True,"{""lr"": 8.5e-05, ""dropout"": 0.02, ""layers"": 2, ""conv_channels"": 16, ""residual_channels"": 128, ""skip_channels"": 256, ""end_channels"": 1024, ""subgraph_size"": 40, ""node_dim"": 30, ""seq_in_len"": 36, ""seq_out_len"": 1, ""ss_prob"": 0.05, ""focus_target_gain"": 80.0, ""anchor_focus_to_last"": 0.85}",null,/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/tuning_runs/20260220_120605/run_003.log
4,777,/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/data/sm_data.csv,0,3.2808,3.536,3.280781040903338,,3.280781040903338,0,True,"{""lr"": 0.00012749999999999998, ""dropout"": 0.0, ""layers"": 3, ""conv_channels"": 32, ""residual_channels"": 128, ""skip_channels"": 256, ""end_channels"": 1024, ""subgraph_size"": 30, ""node_dim"": 40, ""seq_in_len"": 24, ""seq_out_len"": 1, ""ss_prob"": 0.1, ""focus_target_gain"": 80.0, ""anchor_focus_to_last"": 0.85}",null,/Users/samrobert/Documents/GitHub/Exchangeprediction/Cyber-trend-forecasting-main 3/B-MTGNN/tuning_runs/20260220_120605/run_004.log
